SEASON,TEAM,PLAYED,WON,LOST,POINTS
2007/08,Rajasthan Royals,16,13,3,26
2007/08,Kings XI Punjab,15,10,5,20
2007/08,Chennai Super Kings,16,9,7,18
2007/08,Mumbai Indians,14,7,7,14
2007/08,Delhi Daredevils,14,7,7,14
2007/08,Kolkata Knight Riders,13,6,7,12
2007/08,Royal Challengers Bangalore,14,4,10,8
2007/08,Deccan Chargers,14,2,12,4
2009,Delhi Daredevils,15,10,5,20
2009,Royal Challengers Bangalore,16,9,7,18
2009,Deccan Chargers,16,9,7,18
2009,Chennai Super Kings,14,8,6,16
2009,Kings XI Punjab,14,7,7,14
2009,Rajasthan Royals,13,5,8,10
2009,Mumbai Indians,13,5,8,10
2009,Kolkata Knight Riders,13,3,10,6
2009/10,Mumbai Indians,16,11,5,22
2009/10,Chennai Super Kings,16,9,7,18
2009/10,Royal Challengers Bangalore,16,8,8,16
2009/10,Deccan Chargers,16,8,8,16
2009/10,Kolkata Knight Riders,14,7,7,14
2009/10,Delhi Daredevils,14,7,7,14
2009/10,Rajasthan Royals,14,6,8,12
2009/10,Kings XI Punjab,14,3,11,6
2011,Chennai Super Kings,16,11,5,22
2011,Royal Challengers Bangalore,16,10,6,20
2011,Mumbai Indians,16,10,6,20
2011,Kolkata Knight Riders,15,8,7,16
2011,Kings XI Punjab,14,7,7,14
2011,Rajasthan Royals,13,6,7,12
2011,Deccan Chargers,14,6,8,12
2011,Kochi Tuskers Kerala,14,6,8,12
2011,Delhi Daredevils,14,4,10,8
2011,Pune Warriors,14,4,10,8
2012,Kolkata Knight Riders,17,12,5,24
2012,Delhi Daredevils,18,11,7,22
2012,Mumbai Indians,17,10,7,20
2012,Chennai Super Kings,18,10,8,20
2012,Kings XI Punjab,16,8,8,16
2012,Royal Challengers Bangalore,15,8,7,16
2012,Rajasthan Royals,16,7,9,14
2012,Deccan Chargers,15,4,11,8
2012,Pune Warriors,16,4,12,8
2013,Mumbai Indians,19,13,6,26
2013,Chennai Super Kings,18,12,6,24
2013,Rajasthan Royals,18,11,7,22
2013,Sunrisers Hyderabad,17,9,8,18
2013,Kings XI Punjab,16,8,8,16
2013,Royal Challengers Bangalore,16,8,8,16
2013,Kolkata Knight Riders,16,6,10,12
2013,Pune Warriors,16,4,12,8
2013,Delhi Daredevils,16,3,13,6
2014,Kings XI Punjab,17,12,5,24
2014,Kolkata Knight Riders,16,11,5,22
2014,Chennai Super Kings,16,10,6,20
2014,Mumbai Indians,15,7,8,14
2014,Sunrisers Hyderabad,14,6,8,12
2014,Rajasthan Royals,14,6,8,12
2014,Royal Challengers Bangalore,14,5,9,10
2014,Delhi Daredevils,14,2,12,4
2015,Mumbai Indians,16,10,6,20
2015,Chennai Super Kings,17,10,7,20
2015,Royal Challengers Bangalore,16,8,8,16
2015,Rajasthan Royals,14,7,7,14
2015,Sunrisers Hyderabad,14,7,7,14
2015,Kolkata Knight Riders,13,7,6,14
2015,Delhi Daredevils,14,5,9,10
2015,Kings XI Punjab,14,2,12,4
2016,Sunrisers Hyderabad,17,11,6,22
2016,Royal Challengers Bangalore,16,9,7,18
2016,Gujarat Lions,16,9,7,18
2016,Kolkata Knight Riders,15,8,7,16
2016,Mumbai Indians,14,7,7,14
2016,Delhi Daredevils,14,7,7,14
2016,Rising Pune Supergiants,14,5,9,10
2016,Kings XI Punjab,14,4,10,8
2017,Mumbai Indians,17,11,6,22
2017,Rising Pune Supergiant,16,10,6,20
2017,Kolkata Knight Riders,16,9,7,18
2017,Sunrisers Hyderabad,14,8,6,16
2017,Kings XI Punjab,14,7,7,14
2017,Delhi Daredevils,14,6,8,12
2017,Gujarat Lions,14,4,10,8
2017,Royal Challengers Bangalore,13,3,10,6
2018,Chennai Super Kings,16,11,5,22
2018,Sunrisers Hyderabad,17,10,7,20
2018,Kolkata Knight Riders,16,9,7,18
2018,Rajasthan Royals,15,7,8,14
2018,Royal Challengers Bangalore,14,6,8,12
2018,Mumbai Indians,14,6,8,12
2018,Kings XI Punjab,14,6,8,12
2018,Delhi Daredevils,14,5,9,10
2019,Chennai Super Kings,17,10,7,20
2019,Mumbai Indians,16,10,6,20
2019,Delhi Capitals,16,9,7,18
2019,Kings XI Punjab,14,6,8,12
2019,Kolkata Knight Riders,14,6,8,12
2019,Sunrisers Hyderabad,15,6,9,12
2019,Royal Challengers Bangalore,14,5,9,10
2019,Rajasthan Royals,14,5,9,10
2020/21,Mumbai Indians,16,11,5,22
2020/21,Delhi Capitals,17,8,9,16
2020/21,Sunrisers Hyderabad,16,8,8,16
2020/21,Kolkata Knight Riders,14,6,8,12
2020/21,Chennai Super Kings,14,6,8,12
2020/21,Rajasthan Royals,14,6,8,12
2020/21,Royal Challengers Bangalore,15,6,9,12
2020/21,Kings XI Punjab,14,5,9,10
2021,Chennai Super Kings,16,11,5,22
2021,Royal Challengers Bangalore,15,9,6,18
2021,Delhi Capitals,16,9,7,18
2021,Kolkata Knight Riders,17,9,8,18
2021,Mumbai Indians,14,7,7,14
2021,Punjab Kings,14,6,8,12
2021,Rajasthan Royals,14,5,9,10
2021,Sunrisers Hyderabad,14,3,11,6
2022,Gujarat Titans,16,12,4,24
2022,Rajasthan Royals,17,10,7,20
2022,Royal Challengers Bangalore,16,9,7,18
2022,Lucknow Super Giants,15,9,6,18
2022,Punjab Kings,14,7,7,14
2022,Delhi Capitals,14,7,7,14
2022,Kolkata Knight Riders,14,6,8,12
2022,Sunrisers Hyderabad,14,6,8,12
2022,Mumbai Indians,14,4,10,8
2022,Chennai Super Kings,14,4,10,8
2023,Gujarat Titans,17,11,6,22
2023,Chennai Super Kings,16,10,6,20
2023,Mumbai Indians,16,9,7,18
2023,Lucknow Super Giants,15,8,7,16
2023,Royal Challengers Bangalore,14,7,7,14
2023,Rajasthan Royals,14,7,7,14
2023,Kolkata Knight Riders,14,6,8,12
2023,Punjab Kings,14,6,8,12
2023,Delhi Capitals,14,5,9,10
2023,Sunrisers Hyderabad,14,4,10,8
2024,Kolkata Knight Riders,14,11,3,22
2024,Sunrisers Hyderabad,16,9,7,18
2024,Rajasthan Royals,15,9,6,18
2024,Royal Challengers Bengaluru,15,7,8,14
2024,Lucknow Super Giants,14,7,7,14
2024,Delhi Capitals,14,7,7,14
2024,Chennai Super Kings,14,7,7,14
2024,Gujarat Titans,12,5,7,10
2024,Punjab Kings,14,5,9,10
2024,Mumbai Indians,14,4,10,8
2025,Royal Challengers Bengaluru,15,11,4,22
2025,Punjab Kings,18,10,8,20
2025,Gujarat Titans,15,9,6,18
2025,Mumbai Indians,16,9,7,18
2025,Lucknow Super Giants,14,6,8,12
2025,Delhi Capitals,15,6,9,12
2025,Sunrisers Hyderabad,14,6,8,12
2025,Kolkata Knight Riders,13,5,8,10
2025,Chennai Super Kings,14,4,10,8
2025,Rajasthan Royals,14,4,10,8
2026,Punjab Kings,5,4,1,8
2026,Royal Challengers Bengaluru,5,4,1,8
2026,Rajasthan Royals,5,4,1,8
2026,Chennai Super Kings,5,2,3,4
2026,Gujarat Titans,4,2,2,4
2026,Sunrisers Hyderabad,5,2,3,4
2026,Lucknow Super Giants,5,2,3,4
2026,Delhi Capitals,4,2,2,4
2026,Mumbai Indians,5,1,4,2
2026,Kolkata Knight Riders,5,0,5,0
